"ISO3","Country","Year","Survey","Indicator","Admin","Region_Name","Mean","Median","Lower_CI","Upper_CI","Width_90_CI","Coefficient_of_Variation"
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",2,"Northern Province_Musanze",0.4533,0.4534,0.3757,0.5317,0.1559,0.1053
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",2,"Northern Province_Rulindo",0.4727,0.471,0.3873,0.5605,0.1732,0.1122
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",2,"Southern Province_Gisagara",0.5778,0.578,0.5177,0.6376,0.1199,0.08418
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",2,"Southern Province_Huye",0.5272,0.5281,0.4468,0.605,0.1583,0.1033
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",2,"Southern Province_Kamonyi",0.4801,0.4794,0.3985,0.5621,0.1636,0.1054
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",2,"Southern Province_Muhanga",0.5763,0.5768,0.5261,0.6278,0.1016,0.07281
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",2,"Southern Province_Nyamagabe",0.4466,0.4482,0.3695,0.5222,0.1527,0.1027
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",2,"Southern Province_Nyanza",0.5127,0.5144,0.4316,0.5917,0.1601,0.1019
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",2,"Southern Province_Nyaruguru",0.5437,0.5447,0.4663,0.6241,0.1578,0.1051
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",2,"Southern Province_Ruhango",0.4779,0.4788,0.395,0.5604,0.1654,0.1034
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",2,"Western Province_Karongi",0.3595,0.3602,0.2837,0.4375,0.1538,0.129
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",2,"Western Province_Ngororero",0.3829,0.3822,0.3169,0.4522,0.1353,0.1085
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",2,"Western Province_Nyabihu",0.3739,0.3744,0.2926,0.4595,0.167,0.1343
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",2,"Western Province_Nyamasheke",0.6182,0.6197,0.517,0.7141,0.197,0.1647
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",2,"Western Province_Rubavu",0.3533,0.3525,0.2912,0.4184,0.1272,0.1112
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",2,"Western Province_Rusizi",0.6077,0.6093,0.4953,0.7146,0.2193,0.171
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",2,"Western Province_Rutsiro",0.379,0.3775,0.3043,0.4601,0.1558,0.1233
"RWA","Rwanda",2019,"RW2019DHS","RH_DELA_C_SKP",1,"City of Kigali",0.9767,0.9767,0.9534,0.9885,0.03516,0.4271
"RWA","Rwanda",2019,"RW2019DHS","RH_DELA_C_SKP",1,"Eastern Province",0.9369,0.9369,0.9137,0.9542,0.04053,0.1929
"RWA","Rwanda",2019,"RW2019DHS","RH_DELA_C_SKP",1,"Northern Province",0.9604,0.9604,0.9403,0.9739,0.03363,0.252
"RWA","Rwanda",2019,"RW2019DHS","RH_DELA_C_SKP",1,"Southern Province",0.9306,0.9306,0.9093,0.9472,0.03794,0.1648
"RWA","Rwanda",2019,"RW2019DHS","RH_DELA_C_SKP",1,"Western Province",0.9208,0.9208,0.8924,0.9422,0.04975,0.1889
"RWA","Rwanda",2019,"RW2019DHS","RH_DELA_C_SKP",2,"City of Kigali_Gasabo",0.9765,0.9787,0.958,0.9883,0.03027,0.455
"RWA","Rwanda",2019,"RW2019DHS","RH_DELA_C_SKP",2,"City of Kigali_Kicukiro",0.975,0.9774,0.9546,0.9881,0.03351,0.4896
"RWA","Rwanda",2019,"RW2019DHS","RH_DELA_C_SKP",2,"City of Kigali_Nyarugenge",0.9763,0.9786,0.956,0.9885,0.03244,0.4862
"RWA","Rwanda",2019,"RW2019DHS","RH_DELA_C_SKP",2,"Eastern Province_Bugesera",0.9355,0.9371,0.9068,0.9603,0.05349,0.2612
"RWA","Rwanda",2019,"RW2019DHS","RH_DELA_C_SKP",2,"Eastern Province_Gatsibo",0.9378,0.9397,0.9112,0.9581,0.04699,0.2485
"RWA","Rwanda",2019,"RW2019DHS","RH_DELA_C_SKP",2,"Eastern Province_Kayonza",0.9349,0.9365,0.9073,0.9581,0.0508,0.2527
"RWA","Rwanda",2019,"RW2019DHS","RH_DELA_C_SKP",2,"Eastern Province_Kirehe",0.9376,0.9383,0.9119,0.9594,0.04754,0.2388
"RWA","Rwanda",2019,"RW2019DHS","RH_DELA_C_SKP",2,"Eastern Province_Ngoma",0.9374,0.939,0.9089,0.9617,0.05276,0.2761
"RWA","Rwanda",2019,"RW2019DHS","RH_DELA_C_SKP",2,"Eastern Province_Nyagatare",0.9298,0.9329,0.897,0.9543,0.05728,0.2763
"RWA","Rwanda",2019,"RW2019DHS","RH_DELA_C_SKP",2,"Eastern Province_Rwamagana",0.9371,0.9392,0.9085,0.9608,0.05227,0.278
"RWA","Rwanda",2019,"RW2019DHS","RH_DELA_C_SKP",2,"Northern Province_Burera",0.9602,0.9613,0.9405,0.9751,0.03464,0.2799
"RWA","Rwanda",2019,"RW2019DHS","RH_DELA_C_SKP",2,"Northern Province_Gakenke",0.9619,0.9631,0.9406,0.9774,0.03686,0.3055
"RWA","Rwanda",2019,"RW2019DHS","RH_DELA_C_SKP",2,"Northern Province_Gicumbi",0.9622,0.9636,0.9429,0.978,0.03504,0.3142
"RWA","Rwanda",2019,"RW2019DHS","RH_DELA_C_SKP",2,"Northern Province_Musanze",0.9554,0.9576,0.9304,0.9724,0.04203,0.3168
"RWA","Rwanda",2019,"RW2019DHS","RH_DELA_C_SKP",2,"Northern Province_Rulindo",0.9601,0.9615,0.9407,0.9758,0.03512,0.2866
"RWA","Rwanda",2019,"RW2019DHS","RH_DELA_C_SKP",2,"Southern Province_Gisagara",0.9272,0.928,0.8956,0.9559,0.06024,0.264
"RWA","Rwanda",2019,"RW2019DHS","RH_DELA_C_SKP",2,"Southern Province_Huye",0.915,0.9182,0.8809,0.9402,0.05936,0.2253
"RWA","Rwanda",2019,"RW2019DHS","RH_DELA_C_SKP",2,"Southern Province_Kamonyi",0.933,0.9337,0.9044,0.962,0.05756,0.27
"RWA","Rwanda",2019,"RW2019DHS","RH_DELA_C_SKP",2,"Southern Province_Muhanga",0.9338,0.9342,0.9049,0.9637,0.05883,0.2796
"RWA","Rwanda",2019,"RW2019DHS","RH_DELA_C_SKP",2,"Southern Province_Nyamagabe",0.9238,0.9251,0.8973,0.9457,0.04839,0.1983
"RWA","Rwanda",2019,"RW2019DHS","RH_DELA_C_SKP",2,"Southern Province_Nyanza",0.9254,0.9267,0.9019,0.9453,0.04342,0.1824
"RWA","Rwanda",2019,"RW2019DHS","RH_DELA_C_SKP",2,"Southern Province_Nyaruguru",0.9073,0.9134,0.8581,0.9381,0.08008,0.3019
"RWA","Rwanda",2019,"RW2019DHS","RH_DELA_C_SKP",2,"Southern Province_Ruhango",0.9315,0.9316,0.9029,0.959,0.05603,0.2525
"RWA","Rwanda",2019,"RW2019DHS","RH_DELA_C_SKP",2,"Western Province_Karongi",0.9273,0.9284,0.8971,0.9554,0.05831,0.25
"RWA","Rwanda",2019,"RW2019DHS","RH_DELA_C_SKP",2,"Western Province_Ngororero",0.9156,0.9187,0.8747,0.9448,0.07013,0.2675
"RWA","Rwanda",2019,"RW2019DHS","RH_DELA_C_SKP",2,"Western Province_Nyabihu",0.9184,0.9198,0.8874,0.9423,0.05489,0.209
"RWA","Rwanda",2019,"RW2019DHS","RH_DELA_C_SKP",2,"Western Province_Nyamasheke",0.9315,0.9321,0.9003,0.9598,0.05946,0.2625
"RWA","Rwanda",2019,"RW2019DHS","RH_DELA_C_SKP",2,"Western Province_Rubavu",0.9147,0.9176,0.8795,0.9414,0.0619,0.2402
"RWA","Rwanda",2019,"RW2019DHS","RH_DELA_C_SKP",2,"Western Province_Rusizi",0.9224,0.9239,0.8835,0.9546,0.0711,0.2923
"RWA","Rwanda",2019,"RW2019DHS","RH_DELA_C_SKP",2,"Western Province_Rutsiro",0.913,0.9151,0.8796,0.9395,0.0599,0.2175
"RWA","Rwanda",2019,"RW2019DHS","RH_DELP_C_DHT",1,"City of Kigali",0.9749,0.9749,0.9519,0.9871,0.03518,0.4
"RWA","Rwanda",2019,"RW2019DHS","RH_DELP_C_DHT",1,"Eastern Province",0.9401,0.9401,0.917,0.9571,0.04012,0.201
"RWA","Rwanda",2019,"RW2019DHS","RH_DELP_C_DHT",1,"Northern Province",0.9487,0.9487,0.9277,0.9639,0.03616,0.2111
"RWA","Rwanda",2019,"RW2019DHS","RH_DELP_C_DHT",1,"Southern Province",0.9284,0.9284,0.9071,0.9451,0.03803,0.1601
"RWA","Rwanda",2019,"RW2019DHS","RH_DELP_C_DHT",1,"Western Province",0.9189,0.9189,0.8899,0.9408,0.05088,0.1888
"RWA","Rwanda",2019,"RW2019DHS","RH_DELP_C_DHT",2,"City of Kigali_Gasabo",0.9746,0.9766,0.9548,0.9875,0.03269,0.4392
"RWA","Rwanda",2019,"RW2019DHS","RH_DELP_C_DHT",2,"City of Kigali_Kicukiro",0.9733,0.9754,0.9513,0.9873,0.03595,0.4493
"RWA","Rwanda",2019,"RW2019DHS","RH_DELP_C_DHT",2,"City of Kigali_Nyarugenge",0.9742,0.976,0.9539,0.988,0.03409,0.4463
