"ISO3","Country","Year","Survey","Indicator","Admin","Region_Name","Mean","Median","Lower_CI","Upper_CI","Width_90_CI","Coefficient_of_Variation"
"TZA","Tanzania",2022,"TZ2022DHS","CH_DIAT_C_ORT",2,"Tabora_Tabora",0.4797,0.4796,0.2904,0.675,0.3846,0.2461
"TZA","Tanzania",2022,"TZ2022DHS","CH_DIAT_C_ORT",2,"Tabora_Urambo",0.532,0.5318,0.4373,0.6255,0.1881,0.1236
"TZA","Tanzania",2022,"TZ2022DHS","CH_DIAT_C_ORT",2,"Tabora_Uyui",0.4769,0.4739,0.2858,0.6742,0.3884,0.2441
"TZA","Tanzania",2022,"TZ2022DHS","CH_DIAT_C_ORT",2,"Tanga_Handeni",0.4326,0.4349,0.2577,0.6021,0.3445,0.239
"TZA","Tanzania",2022,"TZ2022DHS","CH_DIAT_C_ORT",2,"Tanga_Handeni Town",0.4374,0.4345,0.2461,0.6439,0.3978,0.2759
"TZA","Tanzania",2022,"TZ2022DHS","CH_DIAT_C_ORT",2,"Tanga_Kilindi",0.4685,0.4692,0.2896,0.6556,0.366,0.235
"TZA","Tanzania",2022,"TZ2022DHS","CH_DIAT_C_ORT",2,"Tanga_Korogwe",0.589,0.5885,0.4205,0.7559,0.3355,0.2479
"TZA","Tanzania",2022,"TZ2022DHS","CH_DIAT_C_ORT",2,"Tanga_Korogwe Town",0.4908,0.4931,0.2632,0.7086,0.4455,0.2727
"TZA","Tanzania",2022,"TZ2022DHS","CH_DIAT_C_ORT",2,"Tanga_Lushoto",0.4587,0.4601,0.3185,0.6019,0.2834,0.1855
"TZA","Tanzania",2022,"TZ2022DHS","CH_DIAT_C_ORT",2,"Tanga_Mkinga",0.5544,0.5568,0.386,0.709,0.323,0.2175
"TZA","Tanzania",2022,"TZ2022DHS","CH_DIAT_C_ORT",2,"Tanga_Muheza",0.4489,0.4514,0.2911,0.6215,0.3304,0.2271
"TZA","Tanzania",2022,"TZ2022DHS","CH_DIAT_C_ORT",2,"Tanga_Pangani",0.4832,0.4847,0.2687,0.6917,0.423,0.2708
"TZA","Tanzania",2022,"TZ2022DHS","CH_DIAT_C_ORT",2,"Tanga_Tanga",0.5692,0.5731,0.3674,0.762,0.3946,0.2708
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",1,"Arusha",0.7792,0.7792,0.598,0.8933,0.2953,0.4092
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",1,"Dar es Salaam",0.9444,0.9444,0.9313,0.955,0.0237,0.1287
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",1,"Dodoma",0.8486,0.8486,0.7915,0.8922,0.1007,0.2011
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",1,"Geita",0.705,0.705,0.6654,0.7417,0.07636,0.07879
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",1,"Iringa",0.9114,0.9114,0.8459,0.9507,0.1048,0.3482
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",1,"Kagera",0.7463,0.7463,0.6859,0.7985,0.1126,0.1353
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",1,"Kaskazini Pemba",0.7999,0.7999,0.7322,0.8539,0.1216,0.1847
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",1,"Kaskazini Unguja",0.882,0.882,0.8358,0.9165,0.08065,0.2059
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",1,"Katavi",0.6867,0.6867,0.6154,0.7501,0.1347,0.1313
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",1,"Kigoma",0.7605,0.7605,0.7145,0.8012,0.08677,0.1102
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",1,"Kilimanjaro",0.9072,0.9072,0.8688,0.9352,0.06636,0.2147
